10.11.2022
10:13

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.913776E-05
-90	-9.000000E-02	-2.622804E-05
-80	-8.000000E-02	-2.331872E-05
-70	-7.000000E-02	-2.040919E-05
-60	-6.000000E-02	-1.749867E-05
-50	-5.000000E-02	-1.458858E-05
-40	-4.000000E-02	-1.167845E-05
-30	-3.000000E-02	-8.777443E-06
-20	-2.000000E-02	-5.863966E-06
-10	-1.000000E-02	-2.950437E-06
0	+0.000000E+00	-3.881252E-08
10	+1.000000E-02	+2.899825E-06
20	+2.000000E-02	+5.812116E-06
30	+3.000000E-02	+8.724500E-06
40	+4.000000E-02	+1.162732E-05
50	+5.000000E-02	+1.453769E-05
60	+6.000000E-02	+1.744823E-05
70	+7.000000E-02	+2.035791E-05
80	+8.000000E-02	+2.326641E-05
90	+9.000000E-02	+2.617718E-05
100	+1.000000E-01	+2.908528E-05
