10.11.2022
10:15

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-2.915197E-05
-90	-9.000000E-02	-2.623950E-05
-80	-8.000000E-02	-2.332979E-05
-70	-7.000000E-02	-2.041820E-05
-60	-6.000000E-02	-1.750611E-05
-50	-5.000000E-02	-1.459467E-05
-40	-4.000000E-02	-1.168392E-05
-30	-3.000000E-02	-8.780054E-06
-20	-2.000000E-02	-5.865998E-06
-10	-1.000000E-02	-2.951316E-06
0	+0.000000E+00	-3.886914E-08
10	+1.000000E-02	+2.901194E-06
20	+2.000000E-02	+5.814482E-06
30	+3.000000E-02	+8.729349E-06
40	+4.000000E-02	+1.163236E-05
50	+5.000000E-02	+1.454425E-05
60	+6.000000E-02	+1.745654E-05
70	+7.000000E-02	+2.036707E-05
80	+8.000000E-02	+2.327743E-05
90	+9.000000E-02	+2.618863E-05
100	+1.000000E-01	+2.909828E-05
